a,b,j,H_5,v_2
10,0,3,1778400,5
10,0,6,309600,5
10,0,7,937440,5
10,0,10,45727200,5
10,0,11,120636000,5
10,1,1,12448800,5
10,1,7,352800,5
10,1,9,6017760,5
10,3,2,49140000,5
10,3,6,6717600,5
10,3,10,3952800,5
10,4,2,92645280,5
10,4,3,70368480,5
10,4,6,15858720,5
10,4,7,6662880,5
10,4,10,1401120,5
10,4,11,9882720,5
10,5,3,125143200,5
10,5,5,58740000,5
10,5,11,5013600,5
10,7,2,399016800,5
10,7,6,111996000,5
10,7,10,2181600,5
10,8,2,588588000,5
10,8,3,487749600,5
10,8,6,185292000,5
10,8,7,109720800,5
10,8,10,6127200,5
10,8,11,2191200,5
10,9,1,955674720,5
10,9,7,181651680,5
10,9,9,44462880,5
11,0,8,4425120,5
11,0,9,15775200,5
11,1,2,12448800,5
11,1,6,1360800,5
11,1,10,22730400,5
11,3,2,65973600,5
11,3,3,49543200,5
11,3,6,10850400,5
11,3,7,4586400,5
11,3,10,3679200,5
11,3,11,18583200,5
11,4,8,4122720,5
11,4,9,997920,5
11,5,3,169837920,5
11,5,7,25855200,5
11,5,11,4428000,5
11,6,2,345492000,5
11,6,3,280355040,5
11,6,4,213285600,5
11,6,5,149652000,5
11,6,6,94644000,5
11,6,7,52164000,5
11,6,10,1965600,5
11,6,11,2613600,5
11,6,12,14580000,5
11,8,8,90266400,5
11,8,9,40410720,5
11,9,2,1112237280,5
11,9,6,416314080,5
11,9,10,30250080,5
11,11,2,2077639200,5
11,11,3,1803241440,5
11,11,6,894391200,5
11,11,7,624607200,5
11,11,10,110224800,5
11,11,11,43048800,5
12,0,3,3477600,5
12,0,7,1202400,5
12,0,11,127058400,5
12,1,5,4461600,5
12,1,7,1020000,5
12,3,3,66463200,5
12,3,5,29858400,5
12,3,11,17488800,5
12,4,3,128057760,5
12,4,7,18752160,5
12,4,11,8163360,5
12,5,5,118404000,5
12,5,7,40471200,5
12,7,3,578340000,5
12,7,5,340140000,5
12,7,11,3880800,5
12,8,3,862898400,5
12,8,7,243208800,5
12,8,11,8316000,5
12,9,5,793308960,5
12,9,7,389864160,5
12,11,3,2362370400,5
12,11,5,1604354400,5
12,11,11,80013600,5
12,12,3,3146925600,5
12,12,7,1255917600,5
12,12,11,144842400,5
13,0,4,3088800,5
13,0,5,1853280,5
13,0,12,307317600,5
13,2,4,28173600,5
13,2,5,17777760,5
13,2,12,109236960,5
13,4,4,125244576,5
13,4,5,86119776,5
13,4,12,33945696,5
13,6,4,379844640,5
13,6,5,279888480,5
13,6,12,11881440,5
13,8,4,913237920,5
13,8,5,707814240,5
13,8,12,9203040,5
13,10,4,1882409760,5
13,10,5,1514348640,5
13,10,12,27790560,5
13,12,4,3480066720,5
13,12,5,2879664480,5
13,12,12,105245280,5
14,1,1,34884000,5
14,1,7,2579040,5
14,1,9,6415200,5
14,3,2,142840800,5
14,3,6,34725600,5
14,3,10,3823200,5
14,5,3,377163360,5
14,5,5,215114400,5
14,5,11,4834080,5
14,7,2,1122530400,5
14,7,6,432799200,5
14,7,10,39160800,5
14,9,1,2593974240,5
14,9,7,742724640,5
14,9,9,289383840,5
14,11,2,4350659040,5
14,11,6,2163794400,5
14,11,10,435132000,5
14,13,3,6695892000,5
14,13,5,4946853600,5
14,13,11,601624800,5
15,0,8,5536800,5
15,0,9,18079200,5
15,1,2,34884000,5
15,1,6,7207200,5
15,1,10,23162400,5
15,3,2,179344800,5
15,3,3,143661600,5
15,3,6,47930400,5
15,3,7,27165600,5
15,3,10,4557600,5
15,3,11,15357600,5
15,4,8,31708320,5
15,4,9,14001120,5
15,5,3,476733600,5
15,5,7,121998240,5
15,5,11,6631200,5
